gene	module
ENSG00000000003	ME34
ENSG00000000419	ME1
ENSG00000000457	ME1
ENSG00000000460	ME1
ENSG00000000938	ME5
ENSG00000000971	ME2
ENSG00000001036	ME4
ENSG00000001084	ME1
ENSG00000001167	ME0
ENSG00000001460	ME1
ENSG00000001461	ME1
ENSG00000001497	ME5
ENSG00000001561	ME1
ENSG00000001617	ME1
ENSG00000001626	ME0
ENSG00000001629	ME1
ENSG00000001630	ME6
ENSG00000001631	ME1
ENSG00000002016	ME1
ENSG00000002330	ME28
ENSG00000002549	ME38
ENSG00000002586	ME26
ENSG00000002587	ME36
ENSG00000002726	ME0
ENSG00000002745	ME1
ENSG00000002746	ME0
ENSG00000002822	ME28
ENSG00000002834	ME4
ENSG00000002919	ME9
ENSG00000002933	ME4
ENSG00000003056	ME1
ENSG00000003096	ME25
ENSG00000003137	ME1
ENSG00000003147	ME7
ENSG00000003249	ME11
ENSG00000003393	ME0
ENSG00000003400	ME1
ENSG00000003402	ME0
ENSG00000003436	ME0
ENSG00000003509	ME5
ENSG00000003756	ME1
ENSG00000003989	ME0
ENSG00000004059	ME0
ENSG00000004139	ME3
ENSG00000004142	ME37
ENSG00000004399	ME3
ENSG00000004455	ME1
ENSG00000004468	ME1
ENSG00000004478	ME1
ENSG00000004487	ME2
ENSG00000004534	ME1
ENSG00000004660	ME3
ENSG00000004700	ME1
ENSG00000004766	ME4
ENSG00000004777	ME0
ENSG00000004779	ME37
ENSG00000004799	ME4
ENSG00000004809	ME4
ENSG00000004838	ME0
ENSG00000004846	ME0
ENSG00000004848	ME0
ENSG00000004864	ME6
ENSG00000004866	ME1
ENSG00000004897	ME3
ENSG00000004939	ME0
ENSG00000004961	ME3
ENSG00000004975	ME1
ENSG00000005001	ME20
ENSG00000005007	ME1
ENSG00000005020	ME2
ENSG00000005022	ME0
ENSG00000005059	ME9
ENSG00000005075	ME4
ENSG00000005100	ME6
ENSG00000005102	ME1
ENSG00000005108	ME0
ENSG00000005156	ME0
ENSG00000005175	ME1
ENSG00000005187	ME2
ENSG00000005189	ME13
ENSG00000005194	ME2
ENSG00000005206	ME5
ENSG00000005238	ME3
ENSG00000005243	ME0
ENSG00000005249	ME15
ENSG00000005302	ME8
ENSG00000005339	ME1
ENSG00000005379	ME0
ENSG00000005381	ME4
ENSG00000005421	ME0
ENSG00000005436	ME1
ENSG00000005448	ME1
ENSG00000005469	ME1
ENSG00000005471	ME11
ENSG00000005483	ME1
ENSG00000005486	ME1
ENSG00000005513	ME5
ENSG00000005700	ME1
ENSG00000005801	ME0
ENSG00000005810	ME0
ENSG00000005812	ME1
ENSG00000005844	ME1
ENSG00000005882	ME1
ENSG00000005884	ME3
ENSG00000005889	ME25
ENSG00000005893	ME4
ENSG00000005961	ME15
ENSG00000005981	ME0
ENSG00000006007	ME14
ENSG00000006015	ME0
ENSG00000006016	ME0
ENSG00000006025	ME12
ENSG00000006042	ME0
ENSG00000006047	ME0
ENSG00000006062	ME3
ENSG00000006071	ME2
ENSG00000006118	ME0
ENSG00000006125	ME1
ENSG00000006194	ME3
ENSG00000006210	ME2
ENSG00000006282	ME0
ENSG00000006283	ME2
ENSG00000006327	ME1
ENSG00000006377	ME0
ENSG00000006432	ME0
ENSG00000006451	ME1
ENSG00000006453	ME2
ENSG00000006459	ME2
ENSG00000006468	ME0
ENSG00000006530	ME0
ENSG00000006534	ME4
ENSG00000006555	ME1
ENSG00000006576	ME37
ENSG00000006607	ME1
ENSG00000006625	ME1
ENSG00000006634	ME1
ENSG00000006638	ME1
ENSG00000006652	ME6
ENSG00000006659	ME0
ENSG00000006695	ME1
ENSG00000006704	ME0
ENSG00000006712	ME10
ENSG00000006715	ME1
ENSG00000006740	ME7
ENSG00000006744	ME1
ENSG00000006747	ME0
ENSG00000006756	ME5
ENSG00000006757	ME1
ENSG00000006831	ME1
ENSG00000006837	ME4
ENSG00000007038	ME0
ENSG00000007047	ME5
ENSG00000007062	ME0
ENSG00000007080	ME28
ENSG00000007129	ME1
ENSG00000007168	ME1
ENSG00000007171	ME0
ENSG00000007174	ME0
ENSG00000007202	ME0
ENSG00000007237	ME4
ENSG00000007255	ME1
ENSG00000007264	ME12
ENSG00000007312	ME1
ENSG00000007314	ME1
ENSG00000007341	ME0
ENSG00000007350	ME1
ENSG00000007372	ME0
ENSG00000007376	ME28
ENSG00000007384	ME1
ENSG00000007392	ME32
ENSG00000007402	ME26
ENSG00000007516	ME11
ENSG00000007520	ME28
ENSG00000007541	ME0
ENSG00000007545	ME0
ENSG00000007866	ME0
ENSG00000007923	ME5
ENSG00000007933	ME0
ENSG00000007944	ME1
ENSG00000007952	ME2
ENSG00000007968	ME13
ENSG00000008018	ME14
ENSG00000008056	ME3
ENSG00000008083	ME1
ENSG00000008086	ME0
ENSG00000008118	ME0
ENSG00000008128	ME1
ENSG00000008130	ME5
ENSG00000008196	ME0
ENSG00000008226	ME2
ENSG00000008256	ME1
ENSG00000008277	ME0
ENSG00000008282	ME11
ENSG00000008283	ME20
ENSG00000008294	ME1
ENSG00000008300	ME1
ENSG00000008311	ME1
ENSG00000008323	ME0
ENSG00000008324	ME10
ENSG00000008382	ME5
ENSG00000008394	ME8
ENSG00000008405	ME2
ENSG00000008441	ME0
ENSG00000008513	ME1
ENSG00000008516	ME4
ENSG00000008517	ME1
ENSG00000008710	ME0
ENSG00000008735	ME3
ENSG00000008838	ME1
ENSG00000008853	ME1
ENSG00000008869	ME14
ENSG00000008952	ME1
ENSG00000008988	ME8
ENSG00000009307	ME1
ENSG00000009335	ME0
ENSG00000009413	ME2
ENSG00000009694	ME17
ENSG00000009724	ME1
ENSG00000009765	ME0
ENSG00000009780	ME5
ENSG00000009790	ME1
ENSG00000009830	ME0
ENSG00000009844	ME14
ENSG00000009950	ME3
ENSG00000009954	ME36
ENSG00000010017	ME1
ENSG00000010030	ME18
ENSG00000010072	ME1
ENSG00000010165	ME1
ENSG00000010219	ME1
ENSG00000010244	ME1
ENSG00000010256	ME5
ENSG00000010270	ME5
ENSG00000010278	ME3
ENSG00000010282	ME0
ENSG00000010292	ME1
ENSG00000010295	ME1
ENSG00000010310	ME0
ENSG00000010318	ME0
ENSG00000010319	ME7
ENSG00000010322	ME1
ENSG00000010327	ME4
ENSG00000010361	ME1
ENSG00000010379	ME0
ENSG00000010404	ME6
ENSG00000010438	ME0
ENSG00000010539	ME1
ENSG00000010610	ME5
ENSG00000010626	ME2
ENSG00000010671	ME1
ENSG00000010704	ME2
ENSG00000010803	ME0
ENSG00000010810	ME36
ENSG00000010818	ME9
ENSG00000010932	ME0
ENSG00000011007	ME1
ENSG00000011009	ME0
ENSG00000011021	ME9
ENSG00000011028	ME0
ENSG00000011052	ME0
ENSG00000011083	ME0
ENSG00000011105	ME15
ENSG00000011114	ME0
ENSG00000011132	ME1
ENSG00000011143	ME1
ENSG00000011198	ME21
ENSG00000011201	ME25
ENSG00000011243	ME2
ENSG00000011258	ME2
ENSG00000011260	ME1
ENSG00000011275	ME2
ENSG00000011295	ME6
ENSG00000011304	ME12
ENSG00000011332	ME2
ENSG00000011347	ME0
ENSG00000011376	ME1
ENSG00000011405	ME1
ENSG00000011422	ME21
ENSG00000011426	ME13
ENSG00000011451	ME0
ENSG00000011454	ME2
ENSG00000011465	ME3
ENSG00000011478	ME7
ENSG00000011485	ME1
ENSG00000011523	ME2
ENSG00000011566	ME1
ENSG00000011590	ME29
ENSG00000011600	ME4
ENSG00000011638	ME0
ENSG00000012048	ME13
ENSG00000012061	ME5
ENSG00000012124	ME1
ENSG00000012171	ME1
ENSG00000012174	ME1
ENSG00000012211	ME1
ENSG00000012223	ME1
ENSG00000012232	ME5
ENSG00000012504	ME0
ENSG00000012660	ME11
ENSG00000012779	ME36
ENSG00000012817	ME25
ENSG00000012822	ME1
ENSG00000012963	ME0
ENSG00000012983	ME1
ENSG00000013016	ME1
ENSG00000013275	ME19
ENSG00000013288	ME0
ENSG00000013293	ME0
ENSG00000013297	ME0
ENSG00000013306	ME0
ENSG00000013364	ME5
ENSG00000013374	ME0
ENSG00000013375	ME0
ENSG00000013392	ME0
ENSG00000013441	ME6
ENSG00000013503	ME0
ENSG00000013523	ME1
ENSG00000013561	ME0
ENSG00000013563	ME4
ENSG00000013573	ME0
ENSG00000013583	ME5
ENSG00000013588	ME6
ENSG00000013619	ME3
ENSG00000013725	ME2
ENSG00000013810	ME1
ENSG00000014123	ME2
ENSG00000014138	ME1
ENSG00000014164	ME0
ENSG00000014216	ME2
